id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
395,Haligtree Knight Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligtree_knight_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by knights sworn to the Haligtree. Its left breast is emblazoned with the crest of the Haligtree. Though watered with Miquella's own blood since it was a sapling, the Haligtree ultimately failed to grow into an Erdtree.",chest armor,"[{'Physical': '13.1', 'VS Strike': '12', 'VS Slash': '13.1', 'VS Pierce': '13.1', 'Magic': '9.8', 'Fire': '11', 'Lightning': '9.1', 'Holy': '11'}]","[{'Immunity': '32', 'Robustness': '52', 'Focus': '21', 'Vitality': '22', 'Poise': '22'}]",10.8,,"After completing Boc's Questline, you (or Boc) can alter Haligtree Knight Armor into Haligtree Knight Armor (Altered).",8,Base Game
396,High Page Clothes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/high_page_clothes_elden_ring_wiki_guide_200px.png,"Clothes of a page selected for special privileges by the noble they serve.Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",chest armor,"[{'Physical': '5.5', 'VS Strike': '6.9', 'VS Slash': '5.5', 'VS Pierce': '5.5', 'Magic': '13.5', 'Fire': '12.8', 'Lightning': '13', 'Holy': '13.2'}]","[{'Immunity': '42', 'Robustness': '23', 'Focus': '76', 'Vitality': '76', 'Poise': '10'}]",5.3,,"Can be farmed from High Pages.The earliest one that can be found is in Raya Lucaria Academy. From the Church of the Cuckoo site, enter the church and take the shortcut ladder up. On the other side of the room is a long hallway with a High Page at the end.They can also be found in Leyndell, Royal Capital in various buildings.",1,Base Game
397,High Page Clothes (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/high_page_clothes_(altered)_elden_ring_wiki_guide_200px.png,"Clothes of a page selected for special privileges by the noble they serve. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",chest armor,"[{'Physical': '4.4', 'VS Strike': '6.3', 'VS Slash': '4.4', 'VS Pierce': '4.4', 'Magic': '13.2', 'Fire': '12.6', 'Lightning': '12.8', 'Holy': '13'}]","[{'Immunity': '34', 'Robustness': '19', 'Focus': '61', 'Vitality': '61', 'Poise': '8'}]",4.3,,Dropped by the one different looking page beside a staircase leading indoors near West Capital Rampart site of grace in Leyndell,1,Base Game
398,Hoslow's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/hoslows_armor_(altered)_elden_ring_wiki_guide_200px.png,"Garish silver armor decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. ""I have already walked many a road drenched in blood, yet never would I consider myself a champion.""",chest armor,"[{'Physical': '13.6', 'VS Strike': '11.5', 'VS Slash': '12.5', 'VS Pierce': '12', 'Magic': '10.3', 'Fire': '11', 'Lightning': '8.9', 'Holy': '8.9'}]","[{'Immunity': '32', 'Robustness': '52', 'Focus': '21', 'Vitality': '21', 'Poise': '21'}]",10.8,,"After completing Boc's Questline, you (or Boc) can alter Hoslow's Armor into Hoslow's Armor (Altered).",9,Base Game
399,Ivory-Draped Tabard,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ivory-draped_tabard_elden_ring_wiki_guide_200px.png,Padded cloth armor with a shawl in the color of ivory draped over the shoulders.Worn by foot soldiers sworn to the Haligtree.,chest armor,"[{'Physical': '9.5', 'VS Strike': '10.9', 'VS Slash': '8.8', 'VS Pierce': '10.2', 'Magic': '10.2', 'Fire': '10.9', 'Lightning': '11.9', 'Holy': '11.4'}]","[{'Immunity': '63', 'Robustness': '42', 'Focus': '55', 'Vitality': '57', 'Poise': '16'}]",8.3,,"Chance to drop from Foot Soldiers in Elphael, Brace of the Haligtree",5,Base Game
400,Land of Reeds Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/land_of_reeds_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor made from strips of iron fastened together. Worn by warriors of the Land of Reeds. The Land of Reeds has long been locked in a miserable civil war, during which time it has remained alienated from the cultures of its neighbors. Little wonder that the entire nation has succumbed to blood-soaked madness, or so it is said.",chest armor,"[{'Physical': '8', 'VS Strike': '8.8', 'VS Slash': '11.4', 'VS Pierce': '8.8', 'Magic': '9.5', 'Fire': '10.9', 'Lightning': '11.4', 'Holy': '10.2'}]","[{'Immunity': '52', 'Robustness': '42', 'Focus': '42', 'Vitality': '45', 'Poise': '15'}]",7.8,,"Starting Equipment for the Samurai Class.Sold by the Isolated Merchant in Dragonbarrow for 1,500 Runes. [Elden Ring Map here]",7,Base Game
401,Lazuli Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lazuli_robe_elden_ring_wiki_guide_200px.png,"Robe worn by scholars of the Lazuli Conspectus, singular among the greater Raya Lucaria Academy.These scholars, who sought to master Carian sorcery, instead learned to see the moon as equal to the stars.This robe, in the hue of the full moon, signifies their heresy.",chest armor,"[{'Physical': '6.1', 'VS Strike': '5.3', 'VS Slash': '4.2', 'VS Pierce': '2.7', 'Magic': '13.8', 'Fire': '11.9', 'Lightning': '12.4', 'Holy': '12.8'}]","[{'Immunity': '42', 'Robustness': '21', 'Focus': '67', 'Vitality': '67', 'Poise': '8'}]",4.1,,Chance to drop from Lazuli Sorcerers in Raya Lucaria Academy.,2,Base Game
402,Leather Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leather_armor_elden_ring_wiki_guide_200px.png,Lightweight and battle-proven leather armor worn by a savvy soldier.Many admire the wearer of this armor for his chivalrous and forthright spirit.,chest armor,"[{'Physical': '8', 'VS Strike': '9.5', 'VS Slash': '8', 'VS Pierce': '8.8', 'Magic': '9.5', 'Fire': '9.5', 'Lightning': '10.2', 'Holy': '10.2'}]","[{'Immunity': '60', 'Robustness': '35', 'Focus': '42', 'Vitality': '50', 'Poise': '12'}]",7.1,,Murkwater Cave. Drops from Patches if he's killed after pleading for mercy. Elden Ring Map here,4,Base Game
403,Leyndell Knight Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leyndell_knight_armor_elden_ring_wiki_guide_200px.png,"Armor worn by knights sworn to defend the royal capital of Leyndell.Its left breast is emblazoned with a symbol of Erdtree Worship, said to have once been imbued with an incantation of protection.",chest armor,"[{'Physical': '13.5', 'VS Strike': '12.4', 'VS Slash': '13.5', 'VS Pierce': '13.5', 'Magic': '10.2', 'Fire': '11.4', 'Lightning': '11.4', 'Holy': '10.2'}]","[{'Immunity': '35', 'Robustness': '55', 'Focus': '24', 'Vitality': '24', 'Poise': '24'}]",11.8,,Dropped by Leyndell Knights,8,Base Game
404,Leyndell Knight Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/leyndell_knight_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by knights sworn to defend the royal capital of Leyndell. Its left breast is emblazoned with a symbol of Erdtree Worship, said to have once been imbued with an incantation of protection.",chest armor,"[{'Physical': '13.1', 'VS Strike': '12', 'VS Slash': '13.1', 'VS Pierce': '13.1', 'Magic': '9.8', 'Fire': '11', 'Lightning': '11', 'Holy': '9.8'}]","[{'Immunity': '32', 'Robustness': '50', 'Focus': '21', 'Vitality': '21', 'Poise': '24'}]",10.8,,Drops from Leyndell Knights.,8,Base Game
405,Lionel's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/lionels_armor_(altered)_elden_ring_wiki_guide_200px.png,"Round iron armor. Worn by Lionel the Lionhearted. When this chivalrous, dauntless knight met Fia, who had been driven from her home, he declared himself to be her father.",chest armor,"[{'Physical': '17.1', 'VS Strike': '15.9', 'VS Slash': '18.8', 'VS Pierce': '19.3', 'Magic': '13.1', 'Fire': '14.5', 'Lightning': '12.6', 'Holy': '13.1'}]","[{'Immunity': '57', 'Robustness': '90', 'Focus': '38', 'Vitality': '45', 'Poise': '38'}]",20.2,,"After completing Boc's Questline, you (or Boc) can alter Lionel's Armor into Lionel's Armor (Altered).",11,Base Game
406,Lord of Blood's Robe (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/lord_of_bloods_robe_(altered)_elden_ring_wiki_guide_200px.png,"Attire of Mohg, Lord of Blood, embroidered with an extravagant gold emblem on black cloth. The dress of a Luminary, the reigning lord and hierarch of the coming dynasty of Mohgwyn. Or perhaps, of a raving lunatic.",chest armor,"[{'Physical': '8.9', 'VS Strike': '9.6', 'VS Slash': '8.1', 'VS Pierce': '8.1', 'Magic': '9.6', 'Fire': '12', 'Lightning': '12', 'Holy': '13.4'}]","[{'Immunity': '57', 'Robustness': '19', 'Focus': '47', 'Vitality': '47', 'Poise': '16'}]",7.3,,"After completing Boc's Questline, you (or Boc) can alter Lord of Blood's Robe into Lord of Blood's Robe (Altered).",3,Base Game
407,Lusat's Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lusats_robe_elden_ring_wiki_guide_200px.png,"A robe reserved for grand masters at the Academy of Raya Lucaria. Corroded by blue glintstones.Since the grand masters Azur and Lusat were driven from the academy, no one has achieved their formerly-held rank.",chest armor,"[{'Physical': '8', 'VS Strike': '6.1', 'VS Slash': '8', 'VS Pierce': '6.1', 'Magic': '15.4', 'Fire': '12.8', 'Lightning': '13.3', 'Holy': '13.5'}]","[{'Immunity': '50', 'Robustness': '25', 'Focus': '83', 'Vitality': '99', 'Poise': '12'}]",7.1,,"All three armor pieces can be found after completing Sorceress Sellen's questline and siding with Sellen, return to Lusat's location in the Sellia Hideaway. The entire set will be on the ground where he used to occupy. Elden Ring Map here",2,Base Game
408,Malenia's Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/malenias_armor_elden_ring_wiki_guide_200px.png,"Armor made of unalloyed gold. Worn by Malenia, Blade of Miquella.Malenia awaited Miquella at the foot of the husk.""My brother will keep his promise. He possesses the wisdom, the allure, of a god - he is the most fearsome Empyrean of all.""",chest armor,"[{'Physical': '10.9', 'VS Strike': '7.1', 'VS Slash': '11.4', 'VS Pierce': '9.5', 'Magic': '6.1', 'Fire': '7.1', 'Lightning': '4.2', 'Holy': '7.1'}]","[{'Immunity': '38', 'Robustness': '32', 'Focus': '11', 'Vitality': '11', 'Poise': '16'}]",7.7,,"Purchased from Enia for 12,000 runes after defeating Malenia Blade of Miquella.",7,Base Game
409,Malenia's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/malenias_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. ""My brother will keep his promise. He possesses the wisdom, the allure, of a godhe is the most fearsome Empyrean of all.""",chest armor,"[{'Physical': '10', 'VS Strike': '6.5', 'VS Slash': '10.7', 'VS Pierce': '8.6', 'Magic': '5.1', 'Fire': '6.5', 'Lightning': '2.5', 'Holy': '6.5'}]","[{'Immunity': '29', 'Robustness': '25', 'Focus': '0', 'Vitality': '0', 'Poise': '13'}]",6.8,,"After completing Boc's Questline, you (or Boc) can alter Malenia's Armor into Malenia's Armor (Altered).",7,Base Game
410,Maliketh's Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/malikeths_armor_(altered)_elden_ring_wiki_guide_200px.png,"Beast's armor made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions.",chest armor,"[{'Physical': '12.9', 'VS Strike': '11.4', 'VS Slash': '13.5', 'VS Pierce': '12.4', 'Magic': '10.2', 'Fire': '10.9', 'Lightning': '8.8', 'Holy': '12.6'}]","[{'Immunity': '29', 'Robustness': '50', 'Focus': '21', 'Vitality': '42', 'Poise': '22'}]",11.8,,"After completing Boc's Questline, you (or Boc) can alter Maliketh's Armor into Maliketh's Armor (Altered).",9,Base Game
411,Mausoleum Knight Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mausoleum_knight_armor_elden_ring_wiki_guide_200px.png,"Armor worn by headless knights who endlessly guard the Wandering Mausoleum.The wing-shaped ornaments on its back evoke the Deathbird. A self-inflicted curse that ties the spirits of these loyal knights to the land, having willingly beheaded themselves so that they may serve their masters in death.",chest armor,"[{'Physical': '13.5', 'VS Strike': '11.4', 'VS Slash': '14.6', 'VS Pierce': '12.9', 'Magic': '10.9', 'Fire': '11.4', 'Lightning': '10.2', 'Holy': '11.4'}]","[{'Immunity': '35', 'Robustness': '55', 'Focus': '24', 'Vitality': '23', 'Poise': '25'}]",11.8,,"Mausoleum Knight Set Pieces are randomly dropped by the Mausoleum Knights. Typically found in Liurnia of the Lakes. The easiest one to farm is directly outside the Black Knife Catacombs entrance, which can be reset quickly with the site of grace. Also found near the Walking Mausoleum in Weeping Peninsula.",8,Base Game
412,Mausoleum Knight Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/mausoleum_knight_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by headless knights who endlessly guard the Wandering Mausoleum. The wing-shaped ornaments on its back evoke the Deathbird. A self-inflicted curse that ties the spirits of these loyal knights to the land, having willingly beheaded themselves so that they may serve their masters in death.",chest armor,"[{'Physical': '13.1', 'VS Strike': '11', 'VS Slash': '14.2', 'VS Pierce': '12.5', 'Magic': '10.5', 'Fire': '11', 'Lightning': '9.8', 'Holy': '11'}]","[{'Immunity': '32', 'Robustness': '50', 'Focus': '21', 'Vitality': '21', 'Poise': '25'}]",10.8,,"Mausoleum Knight Set Pieces are randomly dropped by the Mausoleum Knights. Typically found in Liurnia of the Lakes. The easiest one to farm is directly outside the Black Knife Catacombs entrance, which can be reset quickly with the site of grace. Also found near the Walking Mausoleum in Weeping Peninsula.",8,Base Game
413,Mausoleum Surcoat,http://eldenring.wiki.fextralife.com/file/Elden-Ring/mausoleum_surcoat_elden_ring_wiki_guide_200px.png,"Armor worn by headless soldiers who endlessly guard the Wandering Mausoleum.The surcoat depicts the mausoleum bell, which rings in constant mourning for the soulless demigods.",chest armor,"[{'Physical': '12.9', 'VS Strike': '10.9', 'VS Slash': '13.5', 'VS Pierce': '12.4', 'Magic': '10.2', 'Fire': '10.2', 'Lightning': '8.8', 'Holy': '10.2'}]","[{'Immunity': '32', 'Robustness': '50', 'Focus': '23', 'Vitality': '21', 'Poise': '24'}]",10.6,,Mausoleum Soldier Set pieces drop from Mausoleum Soldiers. They can be found patrolling areas around some of the Wandering Mausoleums.An easy spot to farm this set is east of the East Gate Bridge Trestle site of grace in Liurnia of the Lakes. Several groups of 3 or 4 Mausoleum Soldiers are patrolling around this Wandering Mausoleum.,6,Base Game
414,Night Maiden Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/night_maiden_armor_elden_ring_wiki_guide_200px.png,"Armor worn by the nightmaidens of the Eternal City.Indicates the highest clerical rank, and includes a silk cape.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Physical': '8', 'VS Strike': '9.5', 'VS Slash': '8', 'VS Pierce': '10.2', 'Magic': '12.4', 'Fire': '11.4', 'Lightning': '11.9', 'Holy': '12.4'}]","[{'Immunity': '63', 'Robustness': '38', 'Focus': '55', 'Vitality': '55', 'Poise': '16'}]",8.3,,Pieces of the Night Maiden Set are dropped by Night Maiden enemies found in Nokron and Nokstella.Two can be found in the Night's Sacred Ground area in the church with the large Silver Tear Ball. Once this building's shortcut is opened these two can be easily farmed by resetting at the Night's Sacred Ground site of grace.,5,Base Game
415,Night's Cavalry Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_armor_elden_ring_wiki_guide_200px.png,"Pitch-black armor thinly painted with dried blood.Worn by the Night's Cavalry who ride funeral steeds.The Night's Cavalry, who now wander the dim roads at night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",chest armor,"[{'Physical': '14', 'VS Strike': '12.9', 'VS Slash': '14', 'VS Pierce': '13.5', 'Magic': '10.9', 'Fire': '12.6', 'Lightning': '10.9', 'Holy': '12.6'}]","[{'Immunity': '38', 'Robustness': '57', 'Focus': '24', 'Vitality': '24', 'Poise': '25'}]",12.8,,"You can find the Night's Cavalry Set within the Consecrated Snowfield: From the Inner Consecrated Snowfield site of grace at night, look southwest and there will be a caravan being pulled by two giants and two Night's Cavalry escorts. Kill both the escorts to receive the armor alongside an Ancient Dragon Smithing Stone. Elden Ring Map here.",10,Base Game
416,Night's Cavalry Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nights_cavalry_armor_(altered)_elden_ring_wiki_guide_200px.png,"Pitch-black armor thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds. The Night's Cavalry, who now wander the dim roads of night, were once led by the Fell Omen and were deliverers of death for great warriors, knights, and champions.",chest armor,"[{'Physical': '13.5', 'VS Strike': '12.4', 'VS Slash': '13.5', 'VS Pierce': '12.4', 'Magic': '10.2', 'Fire': '12.4', 'Lightning': '10.2', 'Holy': '12.4'}]","[{'Immunity': '32', 'Robustness': '50', 'Focus': '21', 'Vitality': '21', 'Poise': '24'}]",11.8,,"Boc the Seamster can alter the original Night's Cavalry Armor, if you have it in your possession.",10,Base Game
417,Nomadic Merchant's Finery,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_merchants_finery_elden_ring_wiki_guide_200px.png,"Finery of the nomadic merchants. Decorated with tiny gems in a wide spectrum of colors.These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground.Then, they chanted a curse of despair, and summoned the flame of frenzy.",chest armor,"[{'Physical': '8', 'VS Strike': '8.8', 'VS Slash': '7.1', 'VS Pierce': '6.7', 'Magic': '9.5', 'Fire': '9.5', 'Lightning': '9.5', 'Holy': '8.8'}]","[{'Immunity': '57', 'Robustness': '32', 'Focus': '71', 'Vitality': '46', 'Poise': '13'}]",7.2,,"In the hidden tunnels behind the altar in Mohg, the Omen's boss room at the Cathedral of the Forsaken Site of Grace in the Subterranean Shunning-Grounds below Leyndell, Royal Capital. After opening the secret passage behind the altar and taking the stairs down, crossing the narrow fallen rafter directly to the left is a tent and in the far corner you can find Nomadic Merchant's Finery and the full Nomadic Merchant's Set. Elden Ring Map hereTo get access to the set, you need to aggro the enemy walking around close by and lead it next to the tent and have it use its frenzy attack to break the tent.",4,Base Game
418,Nomadic Merchant's Finery (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nomadic_merchants_finery_(altered)_elden_ring_wiki_guide_200px.png,"Finery of the nomadic merchants. Decorated with tiny gems in a wide spectrum of colors. These merchants once thrived as the Great Caravan, but after being accused of heretical beliefs, their entire clan was rounded up and buried alive far underground. Then, they chanted a curse of despair, and summoned the flame of frenzy.",chest armor,"[{'Physical': '7', 'VS Strike': '7.9', 'VS Slash': '6.6', 'VS Pierce': '6', 'Magic': '8.7', 'Fire': '8.7', 'Lightning': '8.7', 'Holy': '7.9'}]","[{'Immunity': '50', 'Robustness': '25', 'Focus': '61', 'Vitality': '38', 'Poise': '12'}]",6.1,,"Boc the Seamster can alter the original Nomadic Merchant's Finery, if you have it in your possession.",4,Base Game
419,Nox Monk Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_monk_armor_elden_ring_wiki_guide_200px.png,"Armor worn by the monks of the Eternal City, with a silk cape attached. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Physical': '9.3', 'VS Strike': '10', 'VS Slash': '9.3', 'VS Pierce': '8.6', 'Magic': '12.2', 'Fire': '11.7', 'Lightning': '11.7', 'Holy': '10'}]","[{'Immunity': '63', 'Robustness': '42', 'Focus': '50', 'Vitality': '50', 'Poise': '16'}]",8.1,,"Can be looted from the Nox Swordstress and Nox Priest common ennemies in Nokstella, Eternal City. However, note that the Nox Swordstress & Nox Priest boss found in Sellia, Town of Sorcery will not drop the set. Elden Ring Interactive Map link",5,Base Game
420,Nox Monk Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_monk_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by the monks of the Eternal City. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Physical': '8.6', 'VS Strike': '9.3', 'VS Slash': '8.6', 'VS Pierce': '7.8', 'Magic': '11.7', 'Fire': '11.2', 'Lightning': '11.2', 'Holy': '9.3'}]","[{'Immunity': '54', 'Robustness': '34', 'Focus': '42', 'Vitality': '42', 'Poise': '15'}]",7.4,,"After completing Boc's Questline, you (or Boc) can alter Nox Monk Armor into Nox Monk Armor (Altered).",5,Base Game
421,Nox Swordstress Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_swordstress_armor_elden_ring_wiki_guide_200px.png,"Armor worn by swordstresses of the Eternal City.These women are the personal guards of the nightmaidens, and wear silk capes.Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Physical': '8.8', 'VS Strike': '10.2', 'VS Slash': '8.8', 'VS Pierce': '9.5', 'Magic': '12.6', 'Fire': '10.9', 'Lightning': '12.4', 'Holy': '11.4'}]","[{'Immunity': '60', 'Robustness': '38', 'Focus': '55', 'Vitality': '55', 'Poise': '17'}]",8.3,,"Pieces of the Nox Swordstress Set are dropped by Nox Swordstress enemies found in Nokron and Nokstella.Three can be found in relatively close proximity to the Nokstella, Eternal City site of grace. One up the stairs in a side room, and 2 in the river riding giant ants.",5,Base Game
422,Nox Swordstress Armor (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/nox_swordstress_armor_(altered)_elden_ring_wiki_guide_200px.png,"Armor worn by swordstresses of the Eternal City. These women are the personal guards of the nightmaidens. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night.",chest armor,"[{'Physical': '8', 'VS Strike': '9.5', 'VS Slash': '8', 'VS Pierce': '8.8', 'Magic': '12.4', 'Fire': '10.2', 'Lightning': '11.9', 'Holy': '10.9'}]","[{'Immunity': '56', 'Robustness': '34', 'Focus': '49', 'Vitality': '49', 'Poise': '16'}]",7.5,,"After completing Boc's Questline, you (or Boc) can alter Nox Swordstress Armor into Nox Swordstress Armor (Altered",5,Base Game
423,Official's Attire,http://eldenring.wiki.fextralife.com/file/Elden-Ring/officials_attire_elden_ring_wiki_guide_200px.png,"Grubby blue robe worn by magisterial officials to carry out their grim tasks.Surveillance, executions, gruesome rituals... The darkest duties drive the wheels of mankind.",chest armor,"[{'Physical': '4.2', 'VS Strike': '4.2', 'VS Slash': '4.2', 'VS Pierce': '5.3', 'Magic': '12.8', 'Fire': '11.9', 'Lightning': '12.4', 'Holy': '12.8'}]","[{'Immunity': '38', 'Robustness': '22', 'Focus': '61', 'Vitality': '64', 'Poise': '8'}]",4.1,,"From the Forbidden Lands site of grace, turn back and head towards the elevator. Face southwest before activating the elevator, and then watch for an opening to jump off into. The Official's Attire is on the corpse in this hidden hallway, alongside Blade of Calling. Elden Ring Map here.",3,Base Game
424,Omen Armor,http://eldenring.wiki.fextralife.com/file/Elden-Ring/omen_armor_elden_ring_wiki_guide_200px.png,"Malformed armor resembling an Omen with its horns cut off.Worn by the Dung Eater. The heavy, sun-shaped medallion represents both the guidance he once saw, and the ring to which it will one day lead.",chest armor,"[{'Physical': '18.3', 'VS Strike': '15', 'VS Slash': '18.7', 'VS Pierce': '18.7', 'Magic': '13', 'Fire': '14.5', 'Lightning': '14.9', 'Holy': '13.8'}]","[{'Immunity': '67', 'Robustness': '63', 'Focus': '57', 'Vitality': '76', 'Poise': '43'}]",23.1,Increases damage of Omen Bairn and Regal Omen Bairn,The Omen Set can be found after killing the Dung Eater in the Subterranean Shunning-Grounds at Leyndell Royal Capital. Elden Ring Map here,11,Base Game
425,Page Garb,http://eldenring.wiki.fextralife.com/file/Elden-Ring/page_garb_elden_ring_wiki_guide_200px.png,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way.Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",chest armor,"[{'Physical': '6.7', 'VS Strike': '6.1', 'VS Slash': '5.3', 'VS Pierce': '5.3', 'Magic': '12.8', 'Fire': '12.6', 'Lightning': '13', 'Holy': '13'}]","[{'Immunity': '42', 'Robustness': '23', 'Focus': '83', 'Vitality': '83', 'Poise': '10'}]",5.1,,"The Page Garb Chest Armor can be occasionally found as loot drops from Page enemies Three are easily found behind the Royal Moongazing Grounds site of grace in Carian Manor. They are also scattered throughout Leyndell, Royal Capital and at Tombsward Ruins at the Underground.",1,Base Game
426,Page Garb (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/page_garb_(altered)_elden_ring_wiki_guide_200px.png,"Garb worn by pages who serve the nobility and are mindful to keep them out of harm's way. Traveling wear tailored with exquisite precision, to avoid any undue shame for the page's master.",chest armor,"[{'Physical': '6.3', 'VS Strike': '5.5', 'VS Slash': '4.4', 'VS Pierce': '4.4', 'Magic': '12.8', 'Fire': '12.6', 'Lightning': '13', 'Holy': '13'}]","[{'Immunity': '34', 'Robustness': '19', 'Focus': '64', 'Vitality': '64', 'Poise': '8'}]",4.5,,"Tombsward Ruins Underground. See it on the Elden Ring Map Here.Boc the Seamster can alter the original Page Garb, if you have it in your possession.",1,Base Game
427,Perfumer Robe,http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumer_robe.png,"Robe of an Erdtree Capital perfumer.The thick front apron embroidered with a depiction of the Erdtree is proof of mastery of the apothecarial arts, and its weight symbolizes the onus of both pride and responsibility.",chest armor,"[{'Physical': '5.3', 'VS Strike': '6.7', 'VS Slash': '6.1', 'VS Pierce': '5.3', 'Magic': '13', 'Fire': '12.4', 'Lightning': '12.6', 'Holy': '13'}]","[{'Immunity': '63', 'Robustness': '21', 'Focus': '71', 'Vitality': '76', 'Poise': '10'}]",5.1,,"Looted from the Perfumers found throughout Leyndell, Royal Capital.",3,Base Game
428,Perfumer Robe (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumer_robe_(altered)_elden_ring_wiki_guide_200px.png,"Robe of an Erdtree Capital perfumer. The thick front apron embroidered with a depiction of the Erdtree is proof of mastery of the apothecarial arts, and its weight symbolizes the onus of both pride and responsibility.",chest armor,"[{'Physical': '4.2', 'VS Strike': '6.1', 'VS Slash': '5.3', 'VS Pierce': '4.2', 'Magic': '12.8', 'Fire': '11.9', 'Lightning': '12.4', 'Holy': '12.8'}]","[{'Immunity': '54', 'Robustness': '18', 'Focus': '57', 'Vitality': '67', 'Poise': '8'}]",4.1,,Boc the Seamster can alter the original Perfumer Robe if you have it in your possession.,3,Base Game
429,Perfumer's Traveling Garb (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/perfumers_traveling_garb_(altered)_elden_ring_wiki_guide_200px.png,"Garb of a traveling perfumer of no renown. The thick front apron, the badge of a perfumer, has been replaced with a more simple one made from soft leather.",chest armor,"[{'Physical': '5.3', 'VS Strike': '5.3', 'VS Slash': '4.2', 'VS Pierce': '2.7', 'Magic': '12.8', 'Fire': '12.8', 'Lightning': '12.4', 'Holy': '12.8'}]","[{'Immunity': '55', 'Robustness': '21', 'Focus': '67', 'Vitality': '63', 'Poise': '8'}]",4.1,,Boc the Seamster can alter the original Perfumer's Traveling Garb if you have it in your possession.,3,Base Game
